"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"3709","Mel'nak","Mel'nak","Mel'nak","Mel'nak","Мел'нак","Mel'nak","Mel'nak","","","Mel'nak","56","1"
"3710","Mig'read","Mig'read","Mig'read","Mig'read","Миг'ред","Mig'read","Mig'read","","","Mig'read","56","1"
"3711","N'Kerri","N'Kerri","N'Kerri","N'Kerri","Н'Керри","N'Kerri","N'Kerri","","","N'Kerri","56","1"
"3712","Ne'hut","Ne'hut","Ne'hut","Ne'hut","Не'хут","Ne'hut","Ne'hut","","","Ne'hut","56","1"
"3713","No'rik","No'rik","No'rik","No'rik","Но'рик","No'rik","No'rik","","","No'rik","56","1"
"3714","Ra'nek","Ra'nek","Ra'nek","Ra'nek","Ра'нек","Ra'nek","Ra'nek","","","Ra'nek","56","1"
"3715","Si'grat","Si'grat","Si'grat","Si'grat","Си'грат","Si'grat","Si'grat","","","Si'grat","56","1"
"3716","T'argk","T'argk","T'argk","T'argk","Т'аргк","T'argk","T'argk","","","T'argk","56","1"
"3717","T'gerak","T'gerak","T'gerak","T'gerak","Т'герак","T'gerak","T'gerak","","","T'gerak","56","1"
"3718","Te'nka","Te'nka","Te'nka","Te'nka","Те'нка","Te'nka","Te'nka","","","Te'nka","56","1"
"3719","Tz'aarkan","Tz'aarkan","Tz'aarkan","Tz'aarkan","Ц'ааркан","Tz'aarkan","Tz'aarkan","","","Tz'aarkan","56","1"
"3720","Tz'akel","Tz'akel","Tz'akel","Tz'akel","Ц'акель","Tz'akel","Tz'akel","","","Tz'akel","56","1"
"3721","Tz'anek","Tz'anek","Tz'anek","Tz'anek","Ц'анек","Tz'anek","Tz'anek","","","Tz'anek","56","1"
"3722","Tz'ek't","Tz'ek't","Tz'ek't","Tz'ek't","Ц'экт","Tz'ek't","Tz'ek't","","","Tz'ek't","56","1"
"3723","Tzerkan","Tzerkan","Tzerkan","Tzerkan","Церкан","Tzerkan","Tzerkan","","","Tzerkan","56","1"
"3724","Tzerkan","Uk'zal","Uk'zal","Uk'zal","Ук'зал","Uk'zal","Uk'zal","","","Uk'zal","56","1"
"3725","Ur'gua","Ur'gua","Ur'gua","Ur'gua","Ур'гва","Ur'gua","Ur'gua","","","Ur'gua","56","1"
"3726","Zu'ltan","Zu'ltan","Zu'ltan","Zu'ltan","Зу'лтан","Zu'ltan","Zu'ltan","","","Zu'ltan","56","1"
"3728"," âme-de-Feu"," Blazingsoul"," Animalucente"," Flammseele"," Пылающая Душа"," Almardiente"," Almardiente","","","Ognisty Duch","56","2"
"3729"," Maître-de-Sang"," Bloodmaster"," Mastrosangue"," Blutmeister"," Мастер Крови"," Maestrosangre"," Maestrosangre","","","Mistrz Krwi","56","2"
"3730"," Maître-Culte"," Cultmaster"," Mastrodevoto"," Kultmeister"," Мастер Культа"," Maestroculto"," Maestroculto","","","Mistrz Kultu","56","2"
"3731"," Larme-Démon"," Daemoncry"," Urlodemonico"," Dämonenschrei"," Клич Демона"," Gritodemoníaco"," Gritodemoníaco","","","Diabelski Wrzask","56","2"
"3732"," Feu-de-Démon"," Daemonfire"," Demonigneo"," Dämonenfeuer"," Огонь Демона"," Fuegodemoníaco"," Fuegodemoníaco","","","Diabelski Ogień","56","2"
"3733"," Sombre-âme"," Darksoul"," Animascura"," Dunkelseele"," Темная Душа"," Almaoscura"," Almaoscura","","","Mroczny Duch","56","2"
"3734"," Crache-Mort"," Deathspit"," Sputomortale"," Todesspei"," Плевок Смерти"," Fosacomún"," Fosacomún","","","Kropidło Śmierci","56","2"
"3735"," Pilleur-Mort"," Deathspoiler"," Mortiferus"," Todderb"," Помеха Смерти"," Arruinamuerte"," Arruinamuerte","","","Łupieżca Śmierci","56","2"
"3736"," Crâne-Maudit"," Doomedskull"," Teschiodannato"," Fluchschädel"," Знак Рока"," Craneocondena"," Craneocondena","","","Czerep Zagłady","56","2"
"3737"," Rampe-Fosse"," Pitcrawler"," Zuffamischia"," Grubenschlürfer"," Обитатель Ямы","Arrastrafosa","Arrastrafosa","","","Żmij Piekieł","56","2"
"3738"," Broyeur-de-Fosse"," Pitcrusher"," Spaccamischia"," Grubenschläger"," Разрушитель Ямы"," Aplastafosa"," Aplastafosa","","","Miażdżyciel Piekieł","56","2"
"3739"," Maître-de-Fosse"," Pitmaster"," Mastromischia"," Grubenmeister"," Хозяин Ямы"," Maestrofosa"," Maestrofosa","","","Mistrz Piekieł","56","2"
"3740"," Nageur-de-Fosse"," Pitswimmer"," Nuotamischia"," Grubenschwimmer"," Пловец Ямы"," Nadafosa"," Nadafosa","","","Wąż Piekieł","56","2"
"3741"," Culte-du-Crâne"," Skullcult"," Culteschio"," Schädelkult"," Культ Черепа"," Cultocráneo"," Cultocráneo","","","Czerep Kultu","56","2"
"3742"," l'Égorgeur"," Slaypit"," Squartamischia"," Grubenschlächter"," Яма Убийств"," Fosamuerte"," Fosamuerte","","","Morderca Piekieł","56","2"
"3743"," Mange-âme"," Souleater"," Mangianime"," Seelenschlinger"," Пожиратель Душ"," Comealmas"," Comealmas","","","Połykacz Dusz","56","2"
"3744"," Bombardâme"," Soulraider"," Strappanime"," Seelenräuber"," Грабитель Душ"," Asaltalmas"," Asaltalmas","","","Łupieżca Dusz","56","2"
"3745"," le Chasseur-de-Sang"," the Bloodfighter"," il Guerriero di sangue"," der Blutkämpfer"," Кровавый Воин"," el Luchasangre"," el Luchasangre","","",", Wojownik","56","2"
"3746"," le Cultiste"," the Cultist"," il Cultista"," der Kultist"," Сектант"," el Sectario"," el Sectario","","",", Czciciel","56","2"
"3747"," le Combattant"," the Pitfighter"," il Rissaiolo"," der Grubenkämpfer"," Воин Ямы"," el Luchafosas"," el Luchafosas","","",", Bojownik","56","2"
"3748"," le Dieu"," the Pitgod"," il Dio della rissa"," der Grubengott"," Бог Ямы"," el Diosdefosa"," el Diosdefosa","","",", Czart","56","2"
"3749"," le Mangeur-de-Crânes"," the Skulleater"," il Mangiateschi"," der Schädelfresser"," Пожиратель Черепов"," el Comecráneos"," el Comecráneos","","",", Pożeracz","56","2"
"3750"," le Voleur-de-Crânes"," the Skullstealer"," il Rubateschi"," der Schädeldieb"," Похититель Черепов"," el Robacráneos"," el Robacráneos","","",", Oprawca","56","2"
"3751"," l'Exterminateur"," the Undertaker"," il Becchino"," der Totengräber"," Гробовщик"," el Enterrador"," el Enterrador","","",", Grabarz","56","2"
"3752"," Gardien-du-Trône"," Thronekeeper"," Guardiantonante"," Thronwacht"," Хранитель Трона"," Guardatronos"," Guardatronos","","","Strażnik Tronu","56","2"
"3753"," Messager-du-Chaos"," Chaosrunner"," Servocaotico"," Chaosläufer"," Бегун Хаоса"," Correcaos"," Correcaos","","","Posłaniec Chaosu","56","2"
"3754","Ae'nar","Ae'nar","Ae'nar","Ae'nar","Аэ'нар","Ae'nar","Ae'nar","","","Ae'nar","57","1"
"3755","Ar'hek","Ar'hek","Ar'hek","Ar'hek","Ар'хек","Ar'hek","Ar'hek","","","Ar'hek","57","1"
"3756","Em'lon","Em'lon","Em'lon","Em'lon","Эм'лон","Em'lon","Em'lon","","","Em'lon","57","1"
"3757","It'krah","It'krah","It'krah","It'krah","Ит'кра","It'krah","It'krah","","","It'krah","57","1"
"3758","Ka'tren","Ka'tren","Ka'tren","Ka'tren","Ка'трен","Ka'tren","Ka'tren","","","Ka'tren","57","1"
"3759","Ke'haza","Ke'haza","Ke'haza","Ke'haza","Ке'хаза","Ke'haza","Ke'haza","","","Ke'haza","57","1"
"3760","Mal'ek","Mal'ek","Mal'ek","Mal'ek","Мал'эк","Mal'ek","Mal'ek","","","Mal'ek","57","1"
"3761","N'Kerri","N'Kerri","N'Kerri","N'Kerri","Н'Керри","N'Kerri","N'Kerri","","","N'Kerri","57","1"
"3762","N'Kira","N'Kira","N'Kira","N'Kira","Н'Кира","N'Kira","N'Kira","","","N'Kira","57","1"
"3763","Na'huk","Na'huk","Na'huk","Na'huk","На'хук","Na'huk","Na'huk","","","Na'huk","57","1"
"3764","Nai'eth","Nai'eth","Nai'eth","Nai'eth","Най'эт","Nai'eth","Nai'eth","","","Nai'eth","57","1"
"3765","Nar'kem","Nar'kem","Nar'kem","Nar'kem","Нар'кем","Nar'kem","Nar'kem","","","Nar'kem","57","1"
"3766","Ne'hut","Ne'hut","Ne'hut","Ne'hut","Не'хут","Ne'hut","Ne'hut","","","Ne'hut","57","1"
"3767","No'rik","No'rik","No'rik","No'rik","Но'рик","No'rik","No'rik","","","No'rik","57","1"
"3768","Ra'nek","Ra'nek","Ra'nek","Ra'nek","Ра'нек","Ra'nek","Ra'nek","","","Ra'nek","57","1"
"3769","Ri'nak","Ri'nak","Ri'nak","Ri'nak","Ри'нак","Ri'nak","Ri'nak","","","Ri'nak","57","1"
"3770","Ta'ria","Ta'ria","Ta'ria","Ta'ria","Та'рия","Ta'ria","Ta'ria","","","Ta'ria","57","1"
"3771","Ta'rik","Ta'rik","Ta'rik","Ta'rik","Та'рик","Ta'rik","Ta'rik","","","Ta'rik","57","1"
"3772","Ta'ryon","Ta'ryon","Ta'ryon","Ta'ryon","Та'рион","Ta'ryon","Ta'ryon","","","Ta'ryon","57","1"
"3773","Te'kle","Te'kle","Te'kle","Te'kle","Те'кл","Te'kle","Te'kle","","","Te'kle","57","1"
"3774","Te'nar","Te'nar","Te'nar","Te'nar","Те'нар","Te'nar","Te'nar","","","Te'nar","57","1"
"3775","Ty'ria","Ty'ria","Ty'ria","Ty'ria","Ти'рия","Ty'ria","Ty'ria","","","Ty'ria","57","1"
"3776"," Main-de-Feu"," Blazinghand"," Mandifuoco"," Flammhand"," Пылающая Длань"," Manoardiente"," Manoardiente","","","Ognista Dłoń","57","2"
"3777"," Épée-de-Feu"," Blazingsword"," Spadaignea"," Flammschwert"," Пылающий Меч"," Espadardiente"," Espadardiente","","","Ognisty Miecz","57","2"
"3778"," Démon-de-Sang"," Bloodaemon"," Demonsangue"," Blutdämon"," Кровавый Демон"," Demoniosangre"," Demoniosangre","","","Demon Krwi","57","2"
"3779"," Bête-de-Sang"," Bloodcreature"," Creaturisangue"," Blutling"," Кровавая Тварь"," Craiturasangrienta"," Craiturasangrienta","","","Istota Krwi","57","2"
"3780"," Maître-de-Sang"," Bloodmaster"," Mastrosangue"," Blutmeister"," Мастер Крови"," Maestrosangre"," Maestrosangre","","","Mistrz Krwi","57","2"
"3781"," Prophète-du-Chaos"," Chaosseer"," Caotico"," Chaosseher"," Пророк Хаоса"," Vigilacaos"," Vigilacaos","","","Prorok Chaosu","57","2"
"3782"," âme-Tordue"," Crookedsoul"," Animaritorta"," Derbseele"," Порочная Душа"," Almatorcida"," Almatorcida","","","Wypaczony Duch","57","2"
"3783"," Démonbowl"," Daemonbowl"," Demonbowl"," Dämonenfleck"," Чаша Демона"," Demoniobowl"," Demoniobowl","","","Diabelski Gracz","57","2"
"3784"," Démonâme"," Daemonsoul"," Animedemoni"," Dämonenseele"," Душа Демона"," Almademoníaca"," Almademoníaca","","","Diabelski Duch","57","2"
"3785"," Mange-Diable"," Devileater"," Mangiadiavoli"," Teufelsschlinger"," Пожиратель Зла"," Comedemonios"," Comedemonios","","","Połykacz Biesów","57","2"
"3786"," le Combattant"," Fightcrawler"," Rissomane"," Kampfkriecher"," Мастер Поединка"," Arrastralucha"," Arrastralucha","","","Żmij Wojny","57","2"
"3787"," Oeil-de-Sang"," Bloodeye"," Occhisangue"," Blutauge"," Кровавый Глаз"," Ojosangre"," Ojosangre","","","Krwawooki","57","2"
"3788"," le Haineux"," Hatebreeder"," Covaodio"," Hassbrüter"," Семя Ненависти"," Criaodio"," Criaodio","","","Niosący Nienawiść","57","2"
"3789"," Épée-d'Enfer"," Hellblade"," Spadamaligna"," Höllenklinge"," Клинок Преисподней"," Filoinfierno"," Filoinfierno","","","Ostrze Piekieł","57","2"
"3790"," Fils-de-Khorne"," Khorneson"," Khorneson"," Khornesohn"," Сын Кхорна"," Hijo de Khorne"," Hijo de Khorne","","","Syn Khorne'a","57","2"
"3791"," Cerveau-Mort"," Deadmind"," Mentemorta"," Tothirn"," Мертвый Разум"," Menteletal"," Menteletal","","","Martwy Umysł","57","2"
"3792"," le Vengeur"," the Avenger"," il Vendicatore"," der Rächer"," Мститель"," el Vengador"," el Vengador","","",", Mściciel","57","2"
"3793"," le Porte-Mort"," the Deathbringer"," il Mortifero"," der Todbringer"," Вестник Смерти"," el Acercamuerte"," el Acercamuerte","","",", Morderca","57","2"
"3794"," l'intrépide"," the Fearless"," l'Impavido"," der Furchtlose"," Бесстрашный"," el Sinmiedo"," el Sinmiedo","","",", Nieulękły","57","2"
"3795"," le Meilleur"," the Greater"," il Grandioso"," der Größere"," Великий"," el Grande"," el Grande","","",", Wielki","57","2"
"3796"," le Seigneur"," the Lord"," il Lord"," der Gebieter"," Повелитель"," el Lord"," el Lord","","",", Lord","57","2"
"3797"," le Dieu-Guerrier"," the Wargod"," il Dio della guerra"," der Kriegsgott"," Бог Войны"," el Dios de la guerra"," el Dios de la guerra","","",", Hetman","57","2"
"3798","Al'tar","Al'tar","Al'tar","Al'tar","Аль'тар","Al'tar","Al'tar","","","Al'tar","58","1"
"3799","Alnark","Alnark","Alnark","Alnark","Альнарк","Alnark","Alnark","","","Alnark","58","1"
"3800","Ba'ltor","Ba'ltor","Ba'ltor","Ba'ltor","Ба'льтор","Ba'ltor","Ba'ltor","","","Ba'ltor","58","1"
"3801","Baaltar","Baaltar","Baaltar","Baaltar","Баальтар","Baaltar","Baaltar","","","Baaltar","58","1"
"3802","Baktra","Baktra","Baktra","Baktra","Бактра","Baktra","Baktra","","","Baktra","58","1"
"3803","Beelzat","Beelzat","Beelzat","Beelzat","Билзат","Beelzat","Beelzat","","","Beelzat","58","1"
"3804","Bennkor","Bennkor","Bennkor","Bennkor","Беннкор","Bennkor","Bennkor","","","Bennkor","58","1"
"3805","Ha'klen","Ha'klen","Ha'klen","Ha'klen","Ха'клен","Ha'klen","Ha'klen","","","Ha'klen","58","1"
"3806","Hellgriim","Hellgriim","Hellgriim","Hellgriim","Хеллгриим","Hellgriim","Hellgriim","","","Hellgriim","58","1"
"3807","K'zarak'era","K'zarak'era","K'zarak'era","K'zarak'era","Кзарак'эра","K'zarak'era","K'zarak'era","","","K'zarak'era","58","1"
"3808","Kreznk","Kreznk","Kreznk","Kreznk","Крезнк","Kreznk","Kreznk","","","Kreznk","58","1"
"3809","Ku'gat","Ku'gat","Ku'gat","Ku'gat","Ку'гат","Ku'gat","Ku'gat","","","Ku'gat","58","1"
"3810","Skarrbrand","Skarrbrand","Skarrbrand","Skarrbrand","Скаррбранд","Skarrbrand","Skarrbrand","","","Skarrbrand","58","1"
"3811","Sla'nak","Sla'nak","Sla'nak","Sla'nak","Сла'нак","Sla'nak","Sla'nak","","","Sla'nak","58","1"
"3812","Te'nka","Te'nka","Te'nka","Te'nka","Те'нка","Te'nka","Te'nka","","","Te'nka","58","1"
"3813","Tz'aarkan","Tz'aarkan","Tz'aarkan","Tz'aarkan","Ц'ааркан","Tz'aarkan","Tz'aarkan","","","Tz'aarkan","58","1"
"3814","Tz'anek","Tz'anek","Tz'anek","Tz'anek","Ц'анек","Tz'anek","Tz'anek","","","Tz'anek","58","1"
"3815","Tzerkan","Tzerkan","Tzerkan","Tzerkan","Церкан","Tzerkan","Tzerkan","","","Tzerkan","58","1"
"3816","Zu'ltan","Zu'ltan","Zu'ltan","Zu'ltan","Зу'лтан","Zu'ltan","Zu'ltan","","","Zu'ltan","58","1"
"3817"," Voie-du-Sang"," Bloodpath"," Sanguifilo"," Blutweg"," Кровавая Тропа"," Rutasangre"," Rutasangre","","","Ścieżka Krwi","58","2"
"3818"," âme-de-Sang"," Bloodsoul"," Animisangue"," Blutseele"," Кровавая Душа"," Almasangrienta"," Almasangrienta","","","Duch Krwi","58","2"
"3819"," Verse-Sang"," the Bloodspiller"," il Versatore di sangue"," der Blutvergießer"," Кровопролитный"," el Derramasangre"," el Derramasangre","","",", Rozchlapywacz","58","2"
"3820"," Goût-de-Sang"," Bloodtaste"," Saporsangue"," Blutschmeck"," Вкус Крови"," Degustasangre"," Degustasangre","","","Smak Krwi","58","2"
"3821"," Mange-Chaos"," Chaosfeed"," Caosivero"," Chaosbringer"," Пища Хаоса"," Comecaos"," Comecaos","","","Karma Chaosu","58","2"
"3822"," du Chaos"," Chaosflow"," Flussisangue"," Chaosstrom"," Поток Хаоса"," Expulsacaos"," Expulsacaos","","","Strumień Chaosu","58","2"
"3823"," Maître-du-Chaos"," Chaosleader"," Sanguidomine"," Chaosherr"," Вождь Хаоса"," Lideracaos"," Lideracaos","","","Przywódca Chaosu","58","2"
"3824"," Voie-du-Chaos"," Chaospath"," Caosifilo"," Chaosweg"," Тропа Хаоса"," Rutacaos"," Rutacaos","","","Ścieżka Chaosu","58","2"
"3825"," Colère-Noire"," Darkanger"," Oscurante"," Dunkelzorn"," Темный Гнев"," Furiaoscura"," Furiaoscura","","","Mroczny Gniew","58","2"
"3826"," Sombre-Sang"," Darkblood"," Sanguiscuro"," Dunkelblut"," Темная Кровь"," Sangreoscura"," Sangreoscura","","","Mroczna Krew","58","2"
"3827"," le Roi-Sanglant"," the Bloodking"," il Re di sangue"," der Blutkönig"," Кровавый Король"," el Rey de la sangre"," el Rey de la sangre","","",", Książę","58","2"
"3828"," le Seigneur-du-Sang"," the Bloodlord"," il Lord di sangue"," der Blutherr"," Кровавый Повелитель"," el Señor de la sangre"," el Señor de la sangre","","",", Władca","58","2"
"3829"," le Buveur-de-Sang"," the Bloodrinker"," il Bevitore di sangue"," der Bluttrinker"," Кровопийца"," el Bebesangre"," el Bebesangre","","",", Chłeptacz","58","2"
"3830"," le Roi-Démon"," the Daemonking"," il Re di demoni"," der Dämonenkönig"," Король Демонов"," el Rey demoníaco"," el Rey demoníaco","","",", Król","58","2"
"3831"," le Marteau"," the Hammer"," il Martello"," der Hammer"," Молот"," el Martillo"," el Martillo","","",", Młot","58","2"
"3832"," le Ravageur"," the Ravager"," il Devastatore"," der Verwüster"," Разрушитель"," el Saqueador"," el Saqueador","","",", Pustoszyciel","58","2"
"3833"," Pluie-de-Sang"," Bloodrain"," Pioggia di sangue"," Blutregen"," Кровавый Дождь"," Lluviasangre"," Lluviasangre","","","Deszcz Krwi","58","2"
"3834"," le Guerrier"," the Warfighter"," il Guerraiolo"," der Krieger"," Воитель"," el Luchaguerras"," el Luchaguerras","","",", Żołnierz","58","2"
"3836","B'zekk","B'zekk","B'zekk","B'zekk","Б'зекк","B'zekk","B'zekk","","","B'zekk","59","1"
"3837","Baaner","Baaner","Baaner","Baaner","Баанер","Baaner","Baaner","","","Baaner","59","1"
"3838","C'tanel","C'tanel","C'tanel","C'tanel","К'танель","C'tanel","C'tanel","","","C'tanel","59","1"
"3839","G'rikle","G'rikle","G'rikle","G'rikle","Г'ринкл","G'rikle","G'rikle","","","G'rikle","59","1"
"3840","G'ruhlk","G'ruhlk","G'ruhlk","G'ruhlk","Г'рулк","G'ruhlk","G'ruhlk","","","G'ruhlk","59","1"
"3841","H'gurhutk","H'gurhutk","H'gurhutk","H'gurhutk","Х'гурутк","H'gurhutk","H'gurhutk","","","H'gurhutk","59","1"
"3842","H'thakr","H'thakr","H'thakr","H'thakr","Х'такр","H'thakr","H'thakr","","","H'thakr","59","1"
"3843","P'aktar","P'aktar","P'aktar","P'aktar","П'актар","P'aktar","P'aktar","","","P'aktar","59","1"
"3844","T'argk","T'argk","T'argk","T'argk","Т'аргк","T'argk","T'argk","","","T'argk","59","1"
"3845","T'gerak","T'gerak","T'gerak","T'gerak","Т'герак","T'gerak","T'gerak","","","T'gerak","59","1"
"3846","Tz'akel","Tz'akel","Tz'akel","Tz'akel","Ц'акель","Tz'akel","Tz'akel","","","Tz'akel","59","1"
"3847","Tz'ek't","Tz'ek't","Tz'ek't","Tz'ek't","Ц'экт","Tz'ek't","Tz'ek't","","","Tz'ek't","59","1"
"3848","Uk'zal","Uk'zal","Uk'zal","Uk'zal","Ук'зал","Uk'zal","Uk'zal","","","Uk'zal","59","1"
"3849","Ur'gua","Ur'gua","Ur'gua","Ur'gua","Ур'гва","Ur'gua","Ur'gua","","","Ur'gua","59","1"
"3850","Ut'lar","Ut'lar","Ut'lar","Ut'lar","Ут'лар","Ut'lar","Ut'lar","","","Ut'lar","59","1"
"3851","Z'gaht","Z'gaht","Z'gaht","Z'gaht","З'гахт","Z'gaht","Z'gaht","","","Z'gaht","59","1"
"3852","Z'nekra","Z'nekra","Z'nekra","Z'nekra","З'некра","Z'nekra","Z'nekra","","","Z'nekra","59","1"
"3853"," le Sang-Taure"," Bloodfiller"," Riempisangue"," Blutfüller"," Кровавый Жнец"," Llenasangre"," Llenasangre","","","Naczynie Krwi","59","2"
"3854"," Écrase-Sang"," Bloodcrusher"," Schiacciasangue"," Blutschläger"," Кровавый Громила"," Aplastasangre"," Aplastasangre","","","Miażdżyciel Krwi","59","2"
"3855"," le Chanteur-Sanglant"," Bloodsinger"," Cantasangue"," Blutsänger"," Кровавый Певец"," Cantasangre"," Cantasangre","","","Pieśniarz Krwi","59","2"
"3856"," Morte-Lame"," Deathblade"," Spadisangue"," Todesklinge"," Клинок Смерти"," Filomuerte"," Filomuerte","","","Ostrze Śmierci","59","2"
"3857"," Lame-Maudite"," Hellblade"," Spadinferno"," Höllenklinge"," Клинок Преисподней"," Filoinfierno"," Filoinfierno","","","Ostrze Piekieł","59","2"
"3858"," Écrase-Crânes"," Skullcrush"," Schiacchiateschi"," Schädelknacker"," Череполом"," Aplastacráneos"," Aplastacráneos","","","Miażdżyciel Czaszek","59","2"
"3859"," Morte-griffe"," Slayclaw"," Squartamembra"," Prügelklaue"," Коготь Смерти"," Garraletal"," Garraletal","","","Szpon Rzezi","59","2"
"3860"," Tueur-à-Khornes"," Hornkill"," Incornicida"," Todeshorn"," Рог Смерти"," Cuernomuerte"," Cuernomuerte","","","Róg Mordu","59","2"
"3861"," Égorge-Démons"," Daemonslay"," Squartademoni"," Hackdämon"," Демон Смерти"," Asesinademonios"," Asesinademonios","","","Demon Rzezi","59","2"
"3862"," Mort-Hurlante"," Deathscreamer"," Gridamorte"," Totschreier"," Крик Смерти"," Gritomuerte"," Gritomuerte","","","Wrzaskun Śmierci","59","2"
"3863"," la Hache"," the Axer"," l'Asciaiolo"," der Axthauer"," Разящий Топор"," el Leñador"," el Leñador","","",", Topornik","59","2"
"3864"," le Destructeur"," the Despoiler"," il Saccheggiatore"," der Zerstörer"," Расхититель"," el Saqueador"," el Saqueador","","",", Grabieżca","59","2"
"3865"," la Haine"," the Hater"," l'Odiatore"," der Hassbringer"," Ненавистник"," el Odio"," el Odio","","",", Wróg","59","2"
"3866"," le Sang-Esprit"," Redsoul"," Animirosso"," Rotseele"," Красная Душа"," Almarroja"," Almarroja","","","Czerwony Duch","59","2"
"3867"," Mâchoire-de-Mort"," Deathjaw"," Faucimortis"," Todeskiefer"," Пасть Смерти"," Faucesletales"," Faucesletales","","","Szczęka Śmierci","59","2"
"3868"," l'Égorgeur"," the Slayer"," lo Squartatore"," der Metzler"," Душегуб"," el Asesino"," el Asesino","","",", Zabójca","59","2"
"3869"," l'Immortel"," the Immortal"," l'Immortale"," der Unsterbliche"," Бессмертный"," el Inmortal"," el Inmortal","","",", Nieśmiertelny","59","2"
"3871","Bardhak","Bardhak","Bardhak","Bardhak","Бардхак","Bardhak","Bardhak","","","Bardhak","60","1"
"3872","Bhadrakk","Bhadrakk","Bhadrakk","Bhadrakk","Бхадракк","Bhadrakk","Bhadrakk","","","Bhadrakk","60","1"
"3873","Bhartan","Bhartan","Bhartan","Bhartan","Бхартан","Bhartan","Bhartan","","","Bhartan","60","1"
"3874","Bzaakh","Bzaakh","Bzaakh","Bzaakh","Бзаах","Bzaakh","Bzaakh","","","Bzaakh","60","1"
"3875","Darkkah","Darkkah","Darkkah","Darkkah","Даркка","Darkkah","Darkkah","","","Darkkah","60","1"
"3876","Farkan","Farkan","Farkan","Farkan","Фаркан","Farkan","Farkan","","","Farkan","60","1"
"3877","Fharikk","Fharikk","Fharikk","Fharikk","Фхарикк","Fharikk","Fharikk","","","Fharikk","60","1"
"3878","Fharlak","Fharlak","Fharlak","Fharlak","Фхарлак","Fharlak","Fharlak","","","Fharlak","60","1"
"3879","Garzhak","Garzhak","Garzhak","Garzhak","Гаржак","Garzhak","Garzhak","","","Garzhak","60","1"
"3880","Gharakk","Gharakk","Gharakk","Gharakk","Гхаракк","Gharakk","Gharakk","","","Gharakk","60","1"
"3881","Ghardhak","Ghardhak","Ghardhak","Ghardhak","Гхардхак","Ghardhak","Ghardhak","","","Ghardhak","60","1"
"3882","Ghattan","Ghattan","Ghattan","Ghattan","Гхаттан","Ghattan","Ghattan","","","Ghattan","60","1"
"3883","Gorzha","Gorzha","Gorzha","Gorzha","Горжа","Gorzha","Gorzha","","","Gorzha","60","1"
"3884","Htanlund","Htanlund","Htanlund","Htanlund","Хтанлунд","Htanlund","Htanlund","","","Htanlund","60","1"
"3885","Karlund","Karlund","Karlund","Karlund","Карлунд","Karlund","Karlund","","","Karlund","60","1"
"3886","Khaarh","Khaarh","Khaarh","Khaarh","Кхаарх","Khaarh","Khaarh","","","Khaarh","60","1"
"3887","Kharzh","Kharzh","Kharzh","Kharzh","Кхарж","Kharzh","Kharzh","","","Kharzh","60","1"
"3888","Khatan","Khatan","Khatan","Khatan","Кхатан","Khatan","Khatan","","","Khatan","60","1"
"3889","Khodrakk","Khodrakk","Khodrakk","Khodrakk","Ходракк","Khodrakk","Khodrakk","","","Khodrakk","60","1"
"3890","Khotan","Khotan","Khotan","Khotan","Кхотан","Khotan","Khotan","","","Khotan","60","1"
"3891","Kulund","Kulund","Kulund","Kulund","Кулунд","Kulund","Kulund","","","Kulund","60","1"
"3892","Marhakk","Marhakk","Marhakk","Marhakk","Мархакк","Marhakk","Marhakk","","","Marhakk","60","1"
"3893","Markkan","Markkan","Markkan","Markkan","Марккан","Markkan","Markkan","","","Markkan","60","1"
"3894","Martan","Martan","Martan","Martan","Мартан","Martan","Martan","","","Martan","60","1"
"3895","Marzharr","Marzharr","Marzharr","Marzharr","Маржарр","Marzharr","Marzharr","","","Marzharr","60","1"
"3896","Rartan","Rartan","Rartan","Rartan","Рартан","Rartan","Rartan","","","Rartan","60","1"
"3897","Rarthak","Rarthak","Rarthak","Rarthak","Рартак","Rarthak","Rarthak","","","Rarthak","60","1"
"3898","Ratthak","Ratthak","Ratthak","Ratthak","Раттак","Ratthak","Ratthak","","","Ratthak","60","1"
"3899","Tazhak","Tazhak","Tazhak","Tazhak","Тажак","Tazhak","Tazhak","","","Tazhak","60","1"
"3900","Thabak","Thabak","Thabak","Thabak","Тхабак","Thabak","Thabak","","","Thabak","60","1"
"3901","Thagrak","Thagrak","Thagrak","Thagrak","Таграк","Thagrak","Thagrak","","","Thagrak","60","1"
"3902","Warggrund","Warggrund","Warggrund","Warggrund","Варггрунд","Warggrund","Warggrund","","","Warggrund","60","1"
"3903","Wartan","Wartan","Wartan","Wartan","Вартан","Wartan","Wartan","","","Wartan","60","1"
"3904","Zarkan","Zarkan","Zarkan","Zarkan","Заркан","Zarkan","Zarkan","","","Zarkan","60","1"
"3905","Zhairahk","Zhairahk","Zhairahk","Zhairahk","Жайрак","Zhairahk","Zhairahk","","","Zhairahk","60","1"
"3906","Zhukh","Zhukh","Zhukh","Zhukh","Жух","Zhukh","Zhukh","","","Zhukh","60","1"
"3918"," Bras-Noir"," Blackarm"," Braccinero"," Schwarzarm"," Черная Рука"," Brazonegro"," Brazonegro","","","Czarne Ramię","60","2"
